Name,Country,Date,Rate,Certificate,Pred_Certificate,Genre,Nudity,Violence,Profanity,Alcohol,Frightening,Summarized_Text
mars attacks,United States,1996,6.3,PG-13,PG-13,"Comedy, Sci-Fi",Mild,Moderate,Mild,Mild,Moderate,"While General Decker Rod Steiger demands immediate Military deployment, Professor Donald Kessler Pierce Brosnan suggests that the Generals protestations are uncalled for, claiming that they know very little about these aliens, and that this could be a new chapter for humanity. In the wake of this transmission, The President, Kessler, and several Generals hold a meeting in their war room to analyze what they know about the Martians. A number of spectators show up as well, as a ship lands. The scene then dissolves into chaos as the Martians vaporize and kill almost everyone. The Martian Ambassador claims to feel remorse, and would like to appear before Congress. The ambassador and two armed Martians appear in Congress, and approach the podium. After reading what appears to be a speech, the Martian Ambassador draws a gun that vaporizes two branches of the government. In the aftermath of the attack, General Decker once again demands that affirmative action be taken, but the President still chooses to go about the situation with no action taken against the martians. The Professors disembodied head and Nathalie converse, and even in their strange bodily state, they both profess their love for each other. The Secret Service manage to kill the Martian."
matilda,United States,1996,6.9,PG,PG-13,"Comedy, Family, Fantasy",None,Mild,Mild,Mild,Moderate,"A girl gifted with a keen intellect and psychic powers uses both to deal with her crude, distant family and free her kind teacher from their sadistic headmistress. , Matilda Wormwood is an exquisite and intelligent little girl. As time passes, she finally starts school and has a kind teacher, loyal friends, and a sadistic headmistress. After some days of practice, she suddenly turns the tables to stand up to Harry and Zinnia and outwit the headmistress. When she is sent off to the Crunchem Hall Elementary School headed by the cruel, hulking headmistress, Miss Agatha Trunchbull, Matilda needs all the help she can get. Will they ever see how extraordinary she is?Nick Riganas, This film adaptation of a Roald Dahl work tells the story of Matilda Wormwood, a gifted girl forced to put up with a crude, distant father named Harry and mother named Zinnia. However, when she realizes that she has the power of telekinesis, she begins to defend her friends from Miss Trunchbulls wrath and fight back against Harry and Zinnia. Kelli Barron, A grouchy couple named Harry and Zinnia Wormwood are parents to a very sweet 6yearold daughter named Matilda. After a while, Harry and Zinnia send her to the school with the worst headmistress in the world, a very sweet teacher, and good friends. While trying to put up with her parents and headmistress cruelty, she starts to unwittingly unleash telekinetic powers, destroying a television and making a newt fly onto the headmistress."
primal fear,United States,1996,7.7,R,R,"Crime, Drama, Mystery",Moderate,Moderate,Severe,Mild,Moderate,"One day while in a bar, Vail sees a news report about the arrest of Aaron Stampler Edward Norton, a young, stuttering, 19yearold simpleton altar boy accused of murdering the beloved, highly respected Archbishop Rushman Stanley Anderson of the Catholic Church in Chicago in the archbishops apartment. Vail also learns through the grapevine that the archbishop had been sexually abusing altar boys, including Stampler. Vail secretly searches Archbishop Rushmans apartment and discovers the VHS tape shot by Rushman, which shows Stampler being forced to have sex with another teenage altar boy and a teenage girl named Linda Forbes. The trial does not proceed well for the defense, as there is considerable evidence against Stampler  he was found running from the Archbishops apartment with blood splattered all over his clothes, and he claims not to remember anything about the murder. Vail begins to sets up a confrontation in court by dropping hints about the Archbishops true nature as well as Aarons multiple personality disorder. He also introduces evidence that both Shaughnessy and Yancy had covered up evidence of Rushman molesting another young man and also implies that Shaughnessy had Joey Pinero murdered, when his body is found floating in the Chicago River. Yet afterward, Janet is fired from her job for allowing the corrupt dealings of the archbishop to be made public as well as the sexual abuse of altar boys that both the Catholic Church and the city council have been trying to hide for the past 10 years. However, just as Vail is leaving, Aaron asks him to tell Miss Venable I hope her neck is okay, which is not something Aaron should have been able to remember if he had lost time. RoyAaron Stampler admits to murdering Archbishop Rushman, as well as his girlfriend, Linda, whom the cleric had also molested. Aware that he would not get away with killing the Archbishop, Aaron made up his simpleton personality to gain sympathy from his lawyer as well as the judge and jury, and when his scheme was compromised, he made up the name of Roy his real sociopath personality to make it appear that he had committed the murder under a split personality."
romeo  juliet,United States,1996,6.7,PG-13,R,"Drama, Romance",Mild,Moderate,None,Moderate,Moderate,"The Ruling House, the House of Capulet from where Juliet hails and that of Montague, the male protagonists family. The story commences with a street brawl fired by the feud between the Montague and Capulet families. When the Prince of Verona announces that any further feud would result in punishment, Count Paris of the ruling house expresses his desire to marry Juliet, from the House of Capulet, who is only thirteen. The estranged meeting between Romeo and Juliet takes place at the ball arranged for Count Paris to meet Juliet. Romeo meets and falls headoverheels in love with Juliet. However, because of Juliet, Romeo refuses to fight him and calls on the ire of Mercutio, who accepts the duel instead of Romeo. When Mercutio is wounded in the duel, Romeo shoots Tybalt dead and is exiled for the latters death. On the eve of her marriage to Count Paris, Juliet takes the drug and is declared dead. Fate has other plans as Paris encounters Romeo and is killed by the latter. Believing that his lady love is dead, Romeo drinks the poison."
sleepers,United States,1996,7.6,R,R,"Crime, Drama, Thriller",Moderate,Severe,Moderate,Moderate,Severe,"Told through the narration of a grownup Shakes, four young boys Lorenzo ShakesJoseph Perrino, Michael Brad Renfro, Tommy Jonathan Tucker, and John Geoffrey Wigdor are the best of friends growing up in Hells Kitchen in New York City. The boys are sentenced to a year in the Wilkinson Home for Boys. Shakes wakes up in the infirmary and is told by Michael that the guards beat Rizzo to death. Michael says hes going to take the Sean Nokes murder case as the prosecuting attorney. Shakes reacts with anger before Michael tells him hes going to take the case to lose. Michael hands Shakes years of research on the three other guards who had tortured them all those years ago. Shakes meets with Carol Minnie Driver, a childhood friend of the boys and exgirlfriend of Michael, and asks for her help finding files for the case since she has access as a social worker. Shakes and Carol meet with Father Bobby and ask him to be Tommy and Johns alibi for the night of the murder. Shakes tells him and Carol everything that happened while he, Michael, Tommy and John were at Wilkinsons. The next day Father Bobby gets on the stand, swears to tell the truth, and says that Tommy and John were with him at a Knicks game the night of the murder."
sling blade,United States,1996,8.0,R,R,Drama,Mild,Mild,Severe,Moderate,Moderate,"Karl meets Franks mom Linda Natalie Canerday and manager Vaughan John Ritter. Frank tells Karl that Vaughan is gay, and Lindas boyfriend Doyle is mean to her, but since his father committed suicide, she is lonely. Doyle Dwight Yoakum is doubtful about Karl staying in the garage, and abuses Vaughan verbally. Frank helps Karl get settled, and they share a joke. That night, Doyle has a band party with his buddies at Lindas house. Linda arranges a dinner with Melinda Christine Renee Ward, whom she hopes will like Karl. Doyle tries to hit Frank, but Karl stops him. As Karl leaves, he sees Linda and thanks her for being good to him. Karl then goes to Vaughan and tells him to take care of Frank, leaving him with his earnings from the repair shop. At night, Karl is seen staring at Doyles house and sharpening a lawnmower blade."
space jam,United States,1996,6.5,PG,PG-13,"Animation, Adventure, Comedy",Mild,Mild,Mild,Mild,Mild,"after thinking about it, he comes across a perfect gang of crazy cartoon character animals named the Looney Toons who live in a cartoon 2Dimensional animated fictional universe known as the Toon World underground Planet Earth, he sends his short little mischievously evil Nerdluck Moron alien minions, Pound, Bang, Bupkus, Blanko and Nawt, on a mission to Earth to capture the Looney Toons. Bugs convinces them that they need to give the Looney Toons a chance to defend themselves, and challenges them to a big sports battle of basketball since they are too small to jump high and the Nerdlucks accept, knowing very little of basketball but have a secret plan. they break into a basketball game in the NBA back in the real world and force their way inside their best players Charles Barkley, Patrick Ewing, Shawn Bradley and Mugsy Bogues, and they steal all of their skills and strength. Bugs also meets a female rabbit named Lola Bunny who is experienced with basketball as well, and he immediately develops a crush on her. Stan is hired to be a cheerleader. Michael and Smackhammer then make a deal for Michael to go to Moron Mountain if they lose, and the Monstars win the fourth part and the Looney Toons have lots of injuries. Then Stan and Bill who also makes it to the Toon world with the help of Ivan Reitman start playing in the game and Michael scores the final goal, the Toons all win. Then the Monstars send Swackhammer off to the moon where he crashes after realising that they have more power than him, and then they shrink back to their normal size again and give their abilities and strength to Michael. Michael gives the talent and strength back to the NBA using the Nedrlucks basketball, and the film ends."
star trek first contact,United States,1996,7.6,PG-13,PG-13,"Action, Adventure, Drama",Mild,Moderate,Mild,Mild,Mild,"Learning that the fleet is losing the battle, the Enterprise crew disobeys orders and heads for Earth, where a single, damaged Borg Cube opposes a group of Starfleet vessels. The Enterprise arrives in time to save the crew of the USS Defiant which is being commanded by Lieutenant Commander Worf. After Picard hears Borg communications in his mind, he orders the fleet to concentrate its firepower on a seemingly nonvital section of the Borg ship. Picard orders the Enterprise to follow it, and as they are enveloped in the vortex, the crew briefly glimpses an Earth populated entirely by Borg. nThe Borg sphere fires on the planet realizing that the Borg are trying to prevent first contact, the Enterprise crew destroy the sphere and send an away team to the Montana site where Cochrane is building his ship, the Phoenix, to look for survivors. Picard sends Cochranes assistant Lily Sloane to the Enterprise for medical attention, then returns to the ship and leaves Commander William Riker on Earth to make sure the Phoenixs flight proceeds as planned. Borg survivors invade the Enterprise and begin to assimilate its crew and modify the ship. Picard and a team attempt to reach engineering to disable the Borg with its corrosive coolant, but the android Data is captured, and finds the queen of the Borg collective, who gains his trust by giving part of him human skin. Apologizing to Worf, Picard activates the ships selfdestruct. As Cochrane, Riker, and engineer Geordi La Forge prepare to activate the warp drive on the Phoenix, Picard confronts the Borg Queen and discovers she has grafted human skin onto Data, giving him an array of new sensations."
striptease,United States,1996,4.5,R,R,"Comedy, Crime, Drama",Moderate,Mild,Mild,Mild,Mild,"To afford an appeal to get her daughter back, Erin becomes a stripper at the Eager Beaver, a strip club in Miami. Aware of Dilbecks embarrassing indulgences, another Eager Beaver patron Jerry Orly approaches Erin with a plan to manipulate the congressman to settle the custody battle and help her get Angela back. Jerry had Erins photos all over his apartment and thats how Al finds Erin at the Eager Beaver and understands her full situation.  Angela tells Erin that she looked pretty dancing on stage. Al Garcia meets Erin and tells him that Congressman Dilbeck has a crush on her and shows her the photo being used for his blackmail. He asks her to become his lover and later his wife, despite his staffs concerns that she knows too much. eventually, Alan turns up dead as well and Al is now worried about Erin. But she doesnt know that Malcolm knows that Al is in touch with her  that she is exFBI. But he is hopelessly drunk, and Erin takes him and Dilbeck to a yard with the pretense of having sex with Dilbeck."
swingers,United States,1996,7.2,R,R,"Comedy, Drama",Mild,None,Severe,Moderate,None,"Afterwards, while on the phone, Mike is coaxed into an impromptu Las Vegas trip by his new best friend, and also actor, Trent Vince Vaughn to help Mike get over his ex. Soon after, the guys manage to meet some ladies and just when it seems as if though Mike can make some progress and salvage the trip, it all falls apart again and this time Trent goes down with him. With the vibes feeling right and things going well, Mike and Rob meet up with Mikes pal Charles Alex Dsert, yet another starving actor, at a local bar where they admire the beautiful women. Soon afterward they rendezvous with the others and they all finally make it to a party where Mike makes an illfated attempt to get back into the game, while Trent gives the guys a lesson in how to handle the opposite sex. The guys agree to head to their favorite after hours spot and after watching Trent and Sue effortlessly meet some girls, Mike is clearly shown feeling lower than ever but not yet defeated. Trent and Sue convince Mike that he is in control so he finally makes his move like hes got nothing to lose and he actually meets Nikki Brooke Langton and gets her phone number. Success at last or so he hopes. Now he feels as if he has truly hit bottom and he sits alone in his apartment, missing his ex more than ever and contemplating a move back to New York. Mike meets up with the guys at Sues, where he discovers that he has missed some changes in the group dynamic. He gathers all his courage and approaches her confidently."
that thing you do,United States,1996,6.9,PG,PG-13,"Comedy, Drama, Music",Mild,None,Mild,Mild,None,"Rounding out the group is the bands nevernamed bass player T. B. Based on Horaces promise that he will get them radio airplay and performance bookings in big cities like Pittsburgh and Steubenville, The Oneders sign him as their manager, despite Jimmys initial reluctance to assign rights to his music. At the same time, Tina not very impressed with Guys new found semistardom falls in love with her new dentist and dumps Guy. While at a promotional photo shoot at PlayTone records corporate headquarters they meet Sol Siler, the owner, who wants his deli luncheon spread more than meeting the talent. are captioned on the screen beneath Jimmys image an homage to Sorry girls, hes married! At the recording session the next day, the Wonders learn that they are to record songs from the PlayTone catalog for their album. Jimmy promptly quits the band and walks out. Lenny never even shows up for the session he went to Las Vegas with a PlayTone secretary the night before and then married her. Lenny manages a casino in Laughlin NV, but he is now single."
the birdcage,United States,1996,7.1,R,R,Comedy,Mild,None,Moderate,Mild,None,"The problem is that Barbara hid the truth from her parents  she informed them that Vals father is a cultural attach for Greece and that Vals mother is a housewife, and that their last name was Coleman. This event makes headlines, and gets the Keeleys swamped with hordes of reporters and threatens to ruin their political position. Kevins wife Louise proposes that they go to see Vals parents, who they believe are a traditional wholesome family, as a double measure to both avoid the reporters and to restore their impeccable public image. They set off, but are being tracked by a couple of reporters, who are themselves tracked by competing reporters. They both set to work remodeling their apartment into a more austere and simple home, and dress up the flamboyant gay manservant Agador as a butlercook. Less simple is asking Albert for support an effeminate, temperamental and sensitive partner, he is offended at Armand and Val asking him to be absent due to his obvious gayness, and when he tries to act like a heterosexual he fails miserably. The Keeleys arrive, and the night starts off fairly well, with only a few hiccups. Unexpectedly Albert dresses up as a woman and takes her place, to the horror of Armand and Val bizarrely his masquerade works successfully and Kevin is even smitten with Mrs Coleman and her liberalness, much to Louises indignation.  Katherine finally arrives, and everything falls apart Kevin and Louise find out that Vals parents are gay Jewish nightclub owners, and they decide to leave immediately."
the craft,United States,1996,6.4,R,PG-13,"Drama, Fantasy, Horror",Mild,Moderate,Mild,Mild,Moderate,"Bonnie tells Nancy and Rochelle that Sarah is the fourth who will complete their circle and make a full coven. Nancy tells Sarah about invoking the Spirit Manon, which is their ultimate goal as a coven. Nancy, Bonnie and Rochelle comfort Sarah, and invite her on a field trip. While on the countryside, they call the corners and cast some spells Rochelle asks for the strength not to hate those who hate her, Sarah performs a love spell on Chris, Bonnie asks for beauty inside and out, and Nancy asks for all the power of Manon. She tries to stop Nancy  who has become the leader of the three remaining coven witches  by binding her powers so that she wont be able to hurt other or herself, but this does not work and the three other coven girls now hate Sarah. Nancy appears and tells Sarah that in the old days, if a witch betrayed her coven, they would kill her. Nancy later slashes Sarahs wrists and a letter on Sarahs handwriting stating the reasons of her suicide magically appear  blaming herself for Chris death. Nancy tells her to go upstairs to check on Sarah and threatens to slit her throat if she doesnt. Sarah successfully invokes Manon and is able to cast spells to fight back, as well as heal the injuries to her wrists. Forced by a counter spell of Sarahs to see themselves and what theyve become by catching their reflections in a mirror, Bonnies face horribly scarred and Rochelles hair falling out, Bonnie and Rochelle flee, leaving only Nancy and Sarah at home."
the crucible,United States,1996,6.8,PG-13,R,"Drama, History",Moderate,Moderate,Mild,None,Moderate,"A Salem resident attempts to frame her exlovers wife for being a witch in the middle of the 1692 witchcraft trials. , A small group of teen girls in 1692 Salem, Massachusetts caught in an innocent conjuring of love potions to catch young men are forced to tell lies that Satan had invaded them and forced them to participate in the rites and are then forced to name those involved. Thrown into the mix are greedy preachers and other major landowners trying to steal others land and one young woman infatuated with a married man and determined to get rid of his innocent wife. Arthur Miller wrote the events and the subsequent trials where those who demanded their innocence were executed, those who would not name names were incarcerated and tortured, and those who admitted their guilt were immediately freed as a parable of the Congressional Communist witch hunts led by Senator Joe McCarthy in 1950s America.  "
the english patient,United States,1996,7.4,R,R,"Drama, Romance, War",Moderate,Moderate,Mild,Mild,Moderate,"The man in the turban, Kip, also shows up when Hana plays Bach on an old piano. Back in Cairo, Katharine visits Almsy at his hotel room and the two begin a torrid love affair. In the bath together, they talk about what they missed while in the desert and seem happy until Almsy tells her that she should go back to Geoffrey. While the city of Cairo is invaded by the German navy and Luftwaffe, one of Caravaggios commanding officers rants about how the Germans were able to make a lightning strike on Cairo using the very maps that Almsy, Madox and the Cliftons had drawn. Back at the villa, Hana, Caravaggio and Kip are all dancing happily when they see a flash in town and hear an explosion. Back in the desert, Almsy is finishing the job of packing up the groups base camp near the Cave of Swimmers. When Almsy reaches the wreck, he finds Geoffrey dead and Katharine in the front seat, badly injured. Desperate to return to the Cave of Swimmers, he rants about Katharine dying out in the desert, begging the British soldiers to give him a jeep. He finds the German army in the desert, who happen to have taken possession of Madox plane. nHana visits Almsy one last time in the villa, preparing to give him his morphine."
the frighteners,New Zealand,1996,7.1,R,PG-13,"Comedy, Fantasy, Horror",Mild,Moderate,Mild,Mild,Moderate,"Instead of charging the couple,he offers to do it in return for not having to pay for the damaged fence. Frank tries to get rid of Walt by pretending that he wants to pay his respects to Ray, in order to pull Rays spirit out of his grave. Walt is told that witnesses saw Frank rushing out of the restaurant before the dead man was found. When Walt asks him if he had anything to do with Magdas death, he doesnt answer and he is arrested on suspicion of murder. As her mother walks back in, the two of them rush into her bedroom. Lucy goes to see Frank in his cell and tells him that Old Mrs.  Bradley must be responsible for Debras death. Lucy uses a fire extinguisher to spray at Dammers to protect Frank. Lucy arrives at the house but her mother tells her that theres no way her daughter is going anywhere. He tries to kill Lucy once again but Frank smashes the portrait onto the bed post and Johnnys spirit cries out as he is sucked into the urn on the bedside table. To his surprise Lucy can see him as well."
the hunchback of notre dame,United States,1996,7.0,G,PG-13,"Animation, Drama, Family",Mild,Moderate,Mild,Mild,Moderate,"Frollo, Phoebus, and Quasimodo and basically everybody else are all captivated by herthough Frollo hides this by voicing his disgust to Phoebus. He calls out to Frollo for help, but its in vain when Phoebus asks permission to stop the cruelty, Frollo tells him, In a moment, Captain.  He tells her shell regret her actions. Instead, he gives her his name and asks for hers in return. Esmeralda thinks Phoebus tricked her into staying in place for her to get caught. As she leaves, she gives him a necklace with a woven pendant, saying it is the key to being able to find her if he ever needs sanctuary. He describes the way she makes him feel as hell fire and calls her a witch and a siren. She disinfects his arrowwound with wine and sews it shut, and he expresses his discomfort with witty remarks. Frollo acts relatively cheerful and brings a large cluster of grapes with him as a treat, to hide his intentions."
the island of dr moreau,United States,1996,4.6,PG-13,R,"Horror, Sci-Fi, Thriller",Mild,Severe,Mild,Mild,Moderate,"After being rescued and brought to an island, a man discovers that its inhabitants are experimental animals being turned into strangelooking humans, all of it the work of a visionary doctor. , Set in the year 2010, Dr.  Moreau has successfully combined human and animal DNA to make a crossbreed animal. Well, as usual, something goes wrong and David Thewlis must try to stop it before it is too late. Originally rated R, but cut by Frankenheimer to allow a wider audience.  "
the long kiss goodnight,United States,1996,6.8,R,R,"Action, Crime, Drama",Mild,Severe,Severe,Mild,Moderate,"The suitcase Mitch found contains a note to a Dr.  Nathan Waldman, so they track him down and arrange to meet up, unaware that the government is tapping his phone. Back in a hotel room, she cuts and bleaches her hair, busts out an aggressive smoky eye, and gets some new clothes. But there are people within the CIA trying to resurrect the operation, including Timothy. She tries to save them by telling Timothy that Caitlin is his kid, but he doesnt care and locks them in. He may be out of the way, but the bomb is still about to explode and Caitlin is still stuck in the truck. She grabs a gun and, using a corpse as a counterweight, rides a string of Christmas lights up so she can shoot Timothy out of the helicopter. She makes it back to the ground and Mitch comes to the rescue at the last moment. Emily Winsauer  Adventurelings The Adventure Movie Podcast"
the nutty professor,United States,1996,5.6,PG-13,R,"Comedy, Romance, Sci-Fi",Mild,None,Moderate,Mild,None,"Reggie heckles many of the other patrons for their odd appearances. When he wakes, he finally yields to the temptation to try his new serum on himself. Thank you and good night! Buddy, who is becoming ever more aggressive, takes Carla out on a second date  this time to the hotel where Sherman was to meet Hartley. Undaunted, he throws a loud party at Shermans house that night, burning all the health food products in the fridge. Having transformed back to his normal self during the night, Sherman awakens to find himself surrounded by strange women. At home, depressed, Sherman accidentally activates the VCR, where Buddy has left a message taunting Sherman and encouraging him to take the serum once again. This inspires Sherman to take his life back, resolved to prove that he can defeat Buddy. Buddy responds by threatening the Dean in the same way he threatened Sherman by strangling him to death. Then, as he prepares to drink the second dose of serum to stay Buddy Love forever, Jason runs in and tries to stop him."
the people vs larry flynt,United States,1996,7.3,R,R,"Biography, Drama",Severe,Mild,Severe,Moderate,None,"With profits down, Flynt decides to publish a newsletter for the club, the first Hustler magazine, with nude pictures of women working at the club. With Althea and Jimmys help, Flynt makes a fortune from sales of Hustler. In 1975, Flynt loses a smutpeddling court decision in Cincinnati but is released from jail soon afterwards on a technicality. That same year, Flynt is soon in court again for leaking videos relating to the John DeLorean entrapment case, and during his courtroom antics, he fires Isaacman, then throws an orange at the judge. Falwell sues for libel and emotional distress. The case goes to trial in December 1984, but the decision is mixed, as Flynt is found guilty of inflicting emotional distress but not libel. Some time later in 1987, Flynt finds her dead in the bathtub, having drowned. Flynt presses Isaacman to appeal the Falwell decision to the Supreme Court of the United States. Isaacman agrees and argues the emotional distress decision in front of the Supreme Court, in the case Hustler Magazine v.  Falwell in 1988. After the trial, Flynt is alone in his bedroom watching old videotapes of a healthy Althea."
trainspotting,United Kingdom,1996,8.1,R,R,Drama,Severe,Moderate,Severe,Severe,Severe,"Sick Boy, Spud and Renton are all heroin addicts who spend their days shooting up in their drug dealer, Swanneys Peter Mullan flat. One day, Renton decides to give up heroin. Horrified, Renton tries to shake off the incident but remains friends with Diane, who threatens to tell the police that Renton had sex with her despite being underage. Tommy gets Sick Boy, Spud and Renton to join him on a walk in the Scottish highlands at the end of a train line but the guys are reluctant, believing theyre being punished by Tommy for the hard time hes receiving from Lizzy. At that point, Sick Boy, Spud and Renton decide to use heroin again and a brokenhearted Tommy asks to try it to see why they like it so much, despite Rentons reluctance. Renton gives Tommy a little money to get by. Sick Boy steals and sells Rentons television, despite the fact that it was a rental and then has the temerity to ask Renton if he wants to sell his passport. Renton suggests to Spud that they steal the money and run as Begbie  Sick Boy get drinks in. Renton believes that neither Begbie nor Sick Boy deserve the money. In the final scene, Spud retrieves the money Renton left for him."
twister,United States,1996,6.4,PG-13,PG-13,"Action, Adventure, Thriller",None,Mild,Moderate,None,Moderate,"Jo wants to see the tornado up close, but Bill stops her just as the tornado lifts Jos truck off the ground. Jonas team shows up but is too late to see the storm and keeps driving. Jo, with no truck of her own, manages to convince Bill to use his new truck to haul the Dorothy machines. The team arrives just after the incident and while Jo celebrates with the team, Melissa breaks down, questioning Bills old lifestyle. Meg tells Jo privately that Jos marriage with Bill ended because, He didnt keep his part of the bargain. Upon finding the tornado, Bill and Jo try to set up Dorothy 2, but run out of time. Melissa and Jos whole team hear their conversation over the CB radio. The tornado obliterates the theater, destroying several of the teams vehicles and Preacher is hurt when he is hit in the head by a flying hubcap. Bill drives ahead of the tornado, dodging as it drops farm vehicles on the road in front of him. Both teams watch in horror as Jonass truck is lifted up by the tornado and thrown into the ground where it explodes, killing both Eddie and Jonas."
air force one,Germany,1997,6.5,R,PG-13,"Action, Drama, Thriller",None,Moderate,Moderate,Mild,Moderate,"In the cockpit, the pilots attempt to make an emergency landing at Ramstein Air Base, Germany. Hiding from Korshunov in the avionics bay, Marshall is able to initiate a dump of Air Force Ones fuel reserve. This forces Korshunov to demand a midair refueling, which requires the plane to come down to 12000 feet at which hostages can parachute out of the cargo bay of the aircraftnMarshall sneaks back into the conference room where the passengers are being held and escorts them to the parachute bay. Most of the hostages escape via parachute, until they are discovered by one of Korshunovs men. The resulting chaos caused depressurization of the parachute bay, and several people are sucked out of the plane without parachutes, meeting their deaths. As Radek prepares to leave prison, Marshall breaks free and kills the last two of Korshunovs men. Korshunov drags Grace down to the cargo bay, where he throws all the remaining parachutes overboard, except for the one he is wearing. Back at the White House, Bennett discovers six Kazakh MiG29s fighter planes piloted by Radek loyalists in pursuit and warns Marshall. The last engine fails and when the final rescuer states he can only evacuate one more, Gibbs pulls a gun and kills both the rescuer and Caldwell, revealing his true identity."
alien resurrection,United States,1997,6.2,R,R,"Action, Horror, Sci-Fi",Mild,Severe,Moderate,Mild,Moderate,"Call can tell that the doctors have removed the alien embryo already, and she tells Ripley that she is just a clone, something the scientists consider only a byproduct. She releases Call, who goes outside the cell only to be intercepted by guards and Dr.  Wren. While experimenting with adult aliens in a cell, Gediman inadvertently teaches them how to use the pacifying equipment in the cell, which sprays freezing gas. The ship goes into emergency mode and some people escape in lifepods the unfortunate ones are killed by aliens. Ripley joins Call and the others as they make their way across the Auriga to the bay where the Betty is docked. However, Ripleys heightened senses are correct, the ship is moving, traveling rapidly back to homebase Earth. Her personal mission was to destroy the operation and keep this from happening, as she understands that the aliens will wipe out humanity. When they set out for the Betty again, Ripley is snatched through the floor grating by aliens. After laying her first round of eggs, she gives birth as a human being would, developing a strange, uteruslike pod and birthing a bizarre creature that resembles a human being crossed with an alien. Her blood dissolves a hole in the glass, depressurizing the cabin and sucking the Newborn onto the window."
an american werewolf in paris,United Kingdom,1997,5.1,R,R,"Comedy, Fantasy, Horror",Moderate,Severe,Severe,Mild,Severe,"Serafine arrives, tells Andy to run away, and transforms into a werewolf. Brad is killed by a werewolf, and Andy is bitten by another werewolf when he tries to escape. For Andy to become normal again, he must eat the heart of the werewolf that bit him and, for Brads ghost to be at rest, the werewolf that killed him must be killed, too. Serafine rescues Andy, explaining that her stepfather prepared a drug to control werewolf transformations. Claude and the other werewolves raid Serafines stepfathers lab and kill him, taking the drug to transform immediately. They help the partygoers escape, and Andy manages to kill the werewolf that ate Brads heart, thus setting Brad free. Andy and Serafine pursue the werewolves into the catacombs as well as the police resulting in the death of the Chief of police, with Serafine shifting to her werewolf form to fight when she runs out of ammunition. During a fight between Serafine and another werewolf which she manages to kill, Andy shoots the werewolf, but it turns out that it is Serafine. Claude tries to inject himself with the drug but Andy manages to stop him and they fight over the syringe accidentally causing Claude accidentally injects Andy instead. Realizing what hes done a terrified Claude tries to run away but Andy turns out to be quicker jumps on top of Claude transforms into a werewolf, kills him and eats his heart, and howls, breaking the werewolf curse over him."
anaconda,United States,1997,4.8,PG-13,R,"Action, Adventure, Horror",Mild,Severe,Moderate,Mild,Moderate,"Shooting a documentary about a longlost Indian tribe on the Amazon River, director Terri Flores Lopez and members of her crew, including cameraman Danny Rich Ice Cube and Professor Steven Cale Stoltz, come across stranded snake hunter Paul Sarone Voight and help him, believing he knows how to find the tribe theyre searching for, but Sarone acts strangely and the crew suspect something.   They are then forced to help him achieve his true objective hunting down and capturing a recordbreaking Green Anaconda he had been tracking. Later on, Terri and Danny, two of the surviving members of the crew, are captured when Sarone catches up to them. He dumps a bucket of animal blood on them and then uses them as bait in an attempt to capture a second, larger Anaconda. The anaconda, Terri and Danny are caught in a net by Sarone, but escape when the snake breaks free. The survivors cut their bonds and break free as Sarone himself is killed by his quarry. The snake becomes trapped in the smoke stack, which Danny ignites and it seems to have died. Danny beats the anaconda with an axe until it is finally slain."
anastasia,United States,1997,7.2,G,PG,"Animation, Adventure, Drama",None,Mild,None,Mild,Moderate,"At the event, Marie is happy to see her granddaughter Anastasia Kirsten Dunst, who is sad that Marie will be going to Paris, France. 10 years after the revolution, St Petersburg is filled with gossip that Anastasia Meg Ryan may still be alive, with the Dowager Empress Marie who still resides in Paris promising to pay a reward for the return of her granddaughter. A conman in St Petersburg named Dimitri John Cusack and his assistant Vlad Kelsey Grammer are attempting to find a woman to pass off as Anastasia, in hopes of bilking Marie out of the reward. Meanwhile, in a little alcove of the ballroom, Bartok has been hiding, and notices that Rasputins reliquary has started to glow. Even though she has been privy to the Empress wishes, she still questions Anya. During the intermission, Dimitri and Anya go to the Empress private box, where Sophie allows Dimitri to meet with the Empress. Dimitri is thrown out, having failed to see that the door to the box was partially open, and Anya heard the entire conversation. Anya explains that all she wants is to find where she belongs. Even so, Dimitri refuses the reward, but is glad to see that he has reunited Anastasia with her true family. After Marie leaves, Anastasia is distracted by her puppy, which leads her out into the garden near the building."
as good as it gets,United States,1997,7.7,PG-13,PG-13,"Comedy, Drama, Romance",Mild,Mild,Moderate,Mild,Mild,"Naturally, Melvins highest priority is to get back to his comfortable routine, so he lies and says he knows nothing about Verdell. In the morning, Melvin goes out for his daily breakfast ritual. Melvin demands that she come back to the cafe and serve him breakfast. Her son, Spencer Jesse James, has congestion in his lungs so severe he can barely breathe. After a few weeks, Simon comes home from the hospital and insists on taking Verdell back. He has a list of friends he calls on for a loan, but they all turn him down. Carol says, You dry clean those each time, right? After seating Carol he runs to a nearby tailor, buys a suitcoat and tie, and comes running back. He knows he might lose his apartment, but he is sure he will be able to cope. Where Carol writes a 10page missive thanking Melvin for the help he has given Spencer, and insists on reading it to Melvin while he is eating is breakfast at the cafe."
